,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,280.0,1063.0,2174.0,1196.0,1822.0,1652.0,2360.0,2659.0,2421.0,1766.0,2000.0,2072.0,1656.0,1819.0,1224.0,821.0,1405.0,710.0,379.0
1,283.0,0.0,1209.0,2327.0,1465.0,1964.0,1795.0,2484.0,2719.0,2524.0,1757.0,2020.0,2199.0,1663.0,1943.0,1363.0,754.0,1131.0,526.0,278.0
2,1064.0,1209.0,0.0,1124.0,265.0,799.0,684.0,1479.0,1778.0,1564.0,942.0,1203.0,1238.0,992.0,950.0,560.0,780.0,2078.0,1683.0,1433.0
3,2173.0,2326.0,1123.0,0.0,990.0,459.0,705.0,1039.0,1334.0,1128.0,1172.0,1180.0,1027.0,1588.0,917.0,1251.0,1860.0,3094.0,2800.0,2543.0
4,1197.0,1465.0,265.0,992.0,0.0,802.0,789.0,1549.0,1848.0,1634.0,1089.0,1308.0,1343.0,1187.0,1055.0,751.0,1036.0,2334.0,1898.0,1566.0
5,1830.0,1972.0,800.0,460.0,801.0,0.0,248.0,772.0,1068.0,862.0,714.0,722.0,684.0,1130.0,460.0,794.0,1402.0,2636.0,2446.0,2198.0
6,1653.0,1795.0,685.0,706.0,789.0,246.0,0.0,797.0,1096.0,882.0,467.0,533.0,559.0,883.0,270.0,547.0,1155.0,2389.0,2269.0,2022.0
7,2361.0,2484.0,1480.0,1045.0,1548.0,777.0,797.0,0.0,302.0,95.5,762.0,589.0,310.0,1170.0,578.0,1123.0,1731.0,2826.0,2903.0,2730.0
8,2660.0,2718.0,1778.0,1341.0,1847.0,1074.0,1096.0,302.0,0.0,207.0,979.0,709.0,571.0,1387.0,881.0,1422.0,1967.0,3043.0,3120.0,2995.0
9,2421.0,2522.0,1565.0,1135.0,1634.0,868.0,882.0,96.4,207.0,0.0,783.0,610.0,370.0,1190.0,638.0,1182.0,1771.0,2846.0,2924.0,2799.0
10,1767.0,1756.0,942.0,1174.0,1089.0,714.0,468.0,762.0,979.0,784.0,0.0,282.0,460.0,411.0,295.0,512.0,1005.0,2067.0,2158.0,2033.0
11,2000.0,2018.0,1204.0,1181.0,1308.0,721.0,533.0,587.0,704.0,609.0,280.0,0.0,285.0,688.0,262.0,766.0,1267.0,2344.0,2420.0,2295.0
12,2073.0,2199.0,1242.0,1030.0,1345.0,684.0,561.0,310.0,571.0,366.0,460.0,286.0,0.0,867.0,290.0,835.0,1447.0,2523.0,2600.0,2442.0
13,1657.0,1665.0,995.0,1585.0,1185.0,1126.0,880.0,1175.0,1392.0,1197.0,411.0,693.0,873.0,0.0,703.0,439.0,913.0,1659.0,2003.0,1941.0
14,1829.0,1944.0,952.0,919.0,1056.0,460.0,271.0,577.0,880.0,637.0,293.0,263.0,289.0,704.0,0.0,583.0,1191.0,2325.0,2392.0,2197.0
15,1224.0,1363.0,561.0,1251.0,748.0,792.0,546.0,1123.0,1422.0,1183.0,511.0,765.0,834.0,438.0,582.0,0.0,610.0,1844.0,1842.0,1640.0
16,820.0,753.0,784.0,1860.0,1040.0,1400.0,1155.0,1731.0,1968.0,1773.0,1006.0,1269.0,1449.0,913.0,1190.0,610.0,0.0,1316.0,1277.0,1030.0
17,1397.0,1120.0,2068.0,3094.0,2324.0,2634.0,2388.0,2831.0,3048.0,2853.0,2067.0,2350.0,2529.0,1656.0,2360.0,1844.0,1305.0,0.0,835.0,1140.0
18,710.0,528.0,1685.0,2803.0,1897.0,2440.0,2271.0,2907.0,3124.0,2929.0,2162.0,2425.0,2605.0,1993.0,2393.0,1844.0,1279.0,834.0,0.0,351.0
19,378.0,278.0,1432.0,2543.0,1565.0,2190.0,2021.0,2729.0,2995.0,2800.0,2033.0,2296.0,2440.0,1940.0,2188.0,1639.0,1030.0,1140.0,351.0,0.0
